,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
9,Deadlings: Rotten Edition,3.99,['ONE MORE LEVEL'],['Action',50000 - 100000,782,0,2014,3,0.8333333333333334
10,WARSAW,23.99,"['Pixelated Milk', 'gaming company']",['Indie',20000 - 50000,93,5,2019,1,0.735330836454432
11,Cthulhu Realms,0.0,"['Wise Wizard Games, LLC']",['Strategy'],50000 - 100000,257,0,2016,2,0.7170731707317073
13,Royal Battleships,2.99,['Educational Games'],['Casual',20000 - 50000,11,0,2018,3,0.7659574468085106
15,Alien Breed 3: Descent,9.99,['Team17 Digital Ltd'],['Action'],200000 - 500000,24,3,2010,1,0.722567287784679
17,Hero of the Kingdom II,7.99,['Lonely Troops'],['Adventure',100000 - 200000,303,5,2015,3,0.9445983379501385
18,Super Naughty Maid 2,9.59,['Denpasoft'],['Casual',0 - 20000,30,4,2019,1,
21,Project: R.E.B.O.O.T 2,2.99,['Volens Nolens Games'],['Action',20000 - 50000,289,10,2017,1,0.5087719298245614
22,Aerofly FS 2 Flight Simulator,37.49,['IPACS'],['Action',100000 - 200000,127,19,2017,3,0.7850368809272918
33,Unhappy Ever After,0.99,['Warped Tales'],['Adventure',20000 - 50000,218,0,2017,3,0.6153846153846154
34,DogFighter,0.99,['Instinct Software Ltd.'],['Action',100000 - 200000,1108,1,2010,1,0.6084905660377359
39,Vanguard Princess,2.49,['eigoMANGA'],['Action',200000 - 500000,244,1,2014,3,0.7054290718038528
40,IRON REBELLION,11.99,['Black Beach Studio'],['Action',50000 - 100000,48,2,2021,1,0.8115942028985508
42,Deadfall Adventures,19.99,['THQ Nordic'],['Action',100000 - 200000,431,4,2013,2,0.7320819112627986
44,Reigns: Game of Thrones,3.99,['Devolver Digital'],['Adventure',50000 - 100000,76,2,2018,3,0.7746947835738068
45,CasinoRPG,0.0,['GoldFire Studios'],['Casual',50000 - 100000,2,19,2018,2,0.6216216216216216
47,Far Cry® 5,59.99,['Ubisoft'],['Action',2000000 - 5000000,1258,2164,2018,1,0.7991676329960447
56,Colours of Magic: Aqua Teeter,0.99,['RunServer'],['Casual',20000 - 50000,340,1,2016,3,0.8023255813953488
57,Forza Horizon 4,59.99,['Xbox Game Studios'],['Racing'],2000000 - 5000000,1021,7571,2021,1,0.8903250650275368
62,Slipstream 5000,2.99,['Funbox Media Ltd'],['Action',200000 - 500000,196,1,2015,1,0.7546666666666667
64,Project MIKHAIL: A Muv-Luv War Story,19.99,['aNCHOR Inc.'],['Action',20000 - 50000,670,16,2021,1,0.5645438898450946
66,Max Payne,3.49,['Rockstar Games'],['Action'],500000 - 1000000,80,49,2011,1,0.8952022577610537
69,Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,29.99,['Avalon Digital'],['Simulation',0 - 20000,78,8,2020,2,0.8695652173913043
71,Sally Face - Episode One,2.99,['Portable Moose'],['Adventure',500000 - 1000000,295,133,2016,3,0.9696844539897571
87,I Walk Among Zombies Vol. 3,14.99,['Sekai Project'],['Adventure'],0 - 20000,34,2,2020,1,0.9032258064516129
89,Aurion: Legacy of the Kori-Odan,14.99,['Dear Villagers'],['Action',20000 - 50000,404,2,2016,1,0.6786885245901639
93,Automobilista 2,23.99,['Reiza Studios'],['Racing',200000 - 500000,2606,358,2020,1,0.8970434053260642
96,Oxygen Not Included,24.99,['Klei Entertainment'],['Indie',2000000 - 5000000,1003,7507,2019,3,0.9649192234275339
102,TowerClimb,14.99,['Davioware and Quazi'],['Action',0 - 20000,53,0,2015,1,0.9113924050632911
108,Dark Eden,0.0,['SOFTON ENTERTAINMENT'],['Free to Play',50000 - 100000,1,0,2016,1,0.484375
112,Puyo Puyo™Tetris®,19.99,['SEGA'],['Action',500000 - 1000000,7750,54,2018,1,0.8383797874473632
113,Numba Deluxe,2.99,['KISS ltd'],['Casual'],200000 - 500000,227,0,2014,1,0.6332046332046332
116,DYNASTY WARRIORS 9,44.99,"['KOEI TECMO GAMES CO., LTD.']",['Action'],1000000 - 2000000,76,70,2018,1,0.33850726552179655
117,The Chaos Engine,9.99,['Rebellion'],['Action'],100000 - 200000,191,0,2013,3,0.6533333333333333
119,Ragnarock,16.24,['WanadevStudio'],['Casual',50000 - 100000,281,44,2021,1,0.949977467327625
120,Into the Void,1.99,['Mozg Labs'],['Adventure',0 - 20000,270,0,2015,3,0.6153846153846154
121,10 Second Ninja X,0.99,['Curve Games'],['Action',200000 - 500000,12,8,2016,1,0.8124024960998439
127,DEVOUR,3.99,['Straight Back Games'],['Indie'],1000000 - 2000000,216,1457,2021,2,0.9185755150009979
134,Line/Dash,1.99,['Gamera Interactive'],['Action',0 - 20000,119,1,2016,3,0.78125
136,Call of Duty® 4: Modern Warfare®,9.99,['Activision'],['Action'],1000000 - 2000000,449,495,2007,2,0.9327184843602422
